month,hour,day_type,daylight_savings_status,indoor_dry_bulb_temperature,average_unmet_cooling_setpoint_difference,indoor_relative_humidity,non_shiftable_load,dhw_demand,cooling_demand,heating_demand,solar_generation
7,24,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,4,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,5,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,6,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.504167
8,7,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.520836
8,8,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.47083
8,9,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,453.025
8,10,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,606.9625
8,11,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,712.75
8,12,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,759.825
8,13,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,751.2625
8,14,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,689.675
8,15,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,581.275
8,16,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,422.425
8,17,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.6
8,18,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.24167
8,19,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.233333
8,20,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,21,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,22,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,23,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,24,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,3,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,4,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,5,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,6,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.095834
8,7,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.620834
8,8,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.425
8,9,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,446.89166
8,10,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,594.0333
8,11,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,698.3125
