,carbon_intensity,carbon_intensity_history_6,carbon_intensity_history_12,carbon_intensity_history_24
0,0.1707244,0.0,0.0,0.0
1,0.15731905,0.0,0.0,0.0
2,0.15450256,0.0,0.0,0.0
3,0.15094487,0.0,0.0,0.0
4,0.15181987,0.0,0.0,0.0
5,0.15808822,0.0,0.0,0.0
6,0.16193937,0.1707244,0.0,0.0
7,0.16434596,0.15731905,0.0,0.0
8,0.19099815,0.15450256,0.0,0.0
9,0.20289886,0.15094487,0.0,0.0
10,0.21287169,0.15181987,0.0,0.0
11,0.22570992,0.15808822,0.0,0.0
12,0.23460789,0.16193937,0.1707244,0.0
13,0.2428607,0.16434596,0.15731905,0.0
14,0.24223925,0.19099815,0.15450256,0.0
15,0.2426803,0.20289886,0.15094487,0.0
16,0.24524967,0.21287169,0.15181987,0.0
17,0.24614695,0.22570992,0.15808822,0.0
18,0.24275939,0.23460789,0.16193937,0.0
19,0.24150947,0.2428607,0.16434596,0.0
20,0.24358909,0.24223925,0.19099815,0.0
21,0.2407392,0.2426803,0.20289886,0.0
22,0.22927038,0.24524967,0.21287169,0.0
23,0.21529473,0.24614695,0.22570992,0.0
24,0.19157887,0.24275939,0.23460789,0.1707244
25,0.17271361,0.24150947,0.2428607,0.15731905
26,0.1668173,0.24358909,0.24223925,0.15450256
27,0.16352855,0.2407392,0.2426803,0.15094487
28,0.16253123,0.22927038,0.24524967,0.15181987
29,0.16735874,0.21529473,0.24614695,0.15808822
30,0.1707615,0.19157887,0.24275939,0.16193937
31,0.18388951,0.17271361,0.24150947,0.16434596
32,0.19780493,0.1668173,0.24358909,0.19099815
33,0.21082877,0.16352855,0.2407392,0.20289886
34,0.22337624,0.16253123,0.22927038,0.21287169
35,0.23930867,0.16735874,0.21529473,0.22570992
36,0.24476917,0.1707615,0.19157887,0.23460789
37,0.24356763,0.18388951,0.17271361,0.2428607
38,0.24330084,0.19780493,0.1668173,0.24223925
39,0.24916068,0.21082877,0.16352855,0.2426803
40,0.25086278,0.22337624,0.16253123,0.24524967
41,0.2472611,0.23930867,0.16735874,0.24614695
42,0.23651384,0.24476917,0.1707615,0.24275939
43,0.2257806,0.24356763,0.18388951,0.24150947
44,0.22176008,0.24330084,0.19780493,0.24358909
45,0.21804756,0.24916068,0.21082877,0.2407392
46,0.20633468,0.25086278,0.22337624,0.22927038
47,0.19263186,0.2472611,0.23930867,0.21529473
48,0.17944553,0.23651384,0.24476917,0.19157887
49,0.16495918,0.2257806,0.24356763,0.17271361
50,0.15730144,0.22176008,0.24330084,0.1668173
51,0.15902838,0.21804756,0.24916068,0.16352855
52,0.15689933,0.20633468,0.25086278,0.16253123
53,0.15738352,0.19263186,0.2472611,0.16735874
54,0.16790247,0.17944553,0.23651384,0.1707615
55,0.17872274,0.16495918,0.2257806,0.18388951
56,0.20311522,0.15730144,0.22176008,0.19780493
57,0.21381462,0.15902838,0.21804756,0.21082877
58,0.21551497,0.15689933,0.20633468,0.22337624
59,0.2312306,0.15738352,0.19263186,0.23930867
60,0.24023743,0.16790247,0.17944553,0.24476917
61,0.24554762,0.17872274,0.16495918,0.24356763
62,0.24369626,0.20311522,0.15730144,0.24330084
63,0.24565277,0.21381462,0.15902838,0.24916068
64,0.24907608,0.21551497,0.15689933,0.25086278
65,0.24751402,0.2312306,0.15738352,0.2472611
66,0.24996853,0.24023743,0.16790247,0.23651384
67,0.251276,0.24554762,0.17872274,0.2257806
68,0.24560243,0.24369626,0.20311522,0.22176008
69,0.23783484,0.24565277,0.21381462,0.21804756
70,0.21481025,0.24907608,0.21551497,0.20633468
71,0.1966851,0.24751402,0.2312306,0.19263186
72,0.175584,0.24996853,0.24023743,0.17944553
73,0.17025222,0.251276,0.24554762,0.16495918
74,0.15808403,0.24560243,0.24369626,0.15730144
75,0.15693438,0.23783484,0.24565277,0.15902838
76,0.1608465,0.21481025,0.24907608,0.15689933
77,0.16770287,0.1966851,0.24751402,0.15738352
78,0.16900943,0.175584,0.24996853,0.16790247
79,0.1827239,0.17025222,0.251276,0.17872274
80,0.2001486,0.15808403,0.24560243,0.20311522
81,0.20599447,0.15693438,0.23783484,0.21381462
82,0.2118524,0.1608465,0.21481025,0.21551497
83,0.2260207,0.16770287,0.1966851,0.2312306
84,0.22795987,0.16900943,0.175584,0.24023743
85,0.2254461,0.1827239,0.17025222,0.24554762
86,0.22483824,0.2001486,0.15808403,0.24369626
87,0.23203483,0.20599447,0.15693438,0.24565277
88,0.2323185,0.2118524,0.1608465,0.24907608
89,0.234056,0.2260207,0.16770287,0.24751402
90,0.23350044,0.22795987,0.16900943,0.24996853
91,0.22279812,0.2254461,0.1827239,0.251276
92,0.2189764,0.22483824,0.2001486,0.24560243
93,0.21173024,0.23203483,0.20599447,0.23783484
94,0.19274442,0.2323185,0.2118524,0.21481025
95,0.16745,0.234056,0.2260207,0.1966851
96,0.15570733,0.23350044,0.22795987,0.175584
97,0.15013929,0.22279812,0.2254461,0.17025222
98,0.14473735,0.2189764,0.22483824,0.15808403
99,0.1524545,0.21173024,0.23203483,0.15693438
100,0.15228155,0.19274442,0.2323185,0.1608465
101,0.16260153,0.16745,0.234056,0.16770287
102,0.16399032,0.15570733,0.23350044,0.16900943
103,0.17502496,0.15013929,0.22279812,0.1827239
104,0.18512607,0.14473735,0.2189764,0.2001486
105,0.19491634,0.1524545,0.21173024,0.20599447
